Epoch: [1][320/596], lr: 0.0002500	Time 0.571 (0.552)	Loss 0.4899 (0.2794)	Loss_h 3.4608 (3.7486)	Prec@1 81.250 (91.822)	
Epoch: [1][340/596], lr: 0.0002500	Time 0.554 (0.552)	Loss 0.4479 (0.2791)	Loss_h 3.8795 (3.7461)	Prec@1 87.500 (91.716)	
Epoch: [1][360/596], lr: 0.0002500	Time 0.548 (0.551)	Loss 0.0536 (0.2740)	Loss_h 3.8115 (3.7469)	Prec@1 100.000 (91.794)	
Epoch: [1][380/596], lr: 0.0002500	Time 0.537 (0.551)	Loss 0.6765 (0.2749)	Loss_h 3.5175 (3.7463)	Prec@1 75.000 (91.749)	
Epoch: [1][400/596], lr: 0.0002500	Time 0.562 (0.550)	Loss 0.2494 (0.2788)	Loss_h 3.8625 (3.7408)	Prec@1 93.750 (91.568)	
Epoch: [1][420/596], lr: 0.0002500	Time 0.544 (0.550)	Loss 0.2313 (0.2789)	Loss_h 3.4520 (3.7298)	Prec@1 87.500 (91.597)	
Epoch: [1][440/596], lr: 0.0002500	Time 0.539 (0.550)	Loss 0.0236 (0.2749)	Loss_h 3.6201 (3.7280)	Prec@1 100.000 (91.780)	
Epoch: [1][460/596], lr: 0.0002500	Time 0.561 (0.549)	Loss 0.2582 (0.2731)	Loss_h 3.7936 (3.7316)	Prec@1 87.500 (91.743)	
Epoch: [1][480/596], lr: 0.0002500	Time 0.558 (0.549)	Loss 0.8401 (0.2741)	Loss_h 4.2497 (3.7363)	Prec@1 81.250 (91.723)	
Epoch: [1][500/596], lr: 0.0002500	Time 0.536 (0.549)	Loss 0.5567 (0.2738)	Loss_h 3.6284 (3.7388)	Prec@1 93.750 (91.754)	
Epoch: [1][520/596], lr: 0.0002500	Time 0.556 (0.548)	Loss 0.5594 (0.2750)	Loss_h 3.5900 (3.7322)	Prec@1 87.500 (91.711)	
Epoch: [1][540/596], lr: 0.0002500	Time 0.557 (0.548)	Loss 0.3340 (0.2758)	Loss_h 4.1176 (3.7279)	Prec@1 93.750 (91.740)	
Epoch: [1][560/596], lr: 0.0002500	Time 0.525 (0.548)	Loss 0.0507 (0.2735)	Loss_h 3.4028 (3.7228)	Prec@1 100.000 (91.811)	
Epoch: [1][580/596], lr: 0.0002500	Time 0.517 (0.548)	Loss 0.2608 (0.2710)	Loss_h 3.5230 (3.7179)	Prec@1 87.500 (91.824)	
Test: [0/237]	Time 4.528 (4.528)	Loss 0.1479 (0.1479)	Prec@1 93.750 (93.750)	Prec@5 100.000 (100.000)
Test: [20/237]	Time 0.324 (0.542)	Loss 0.0624 (0.3111)	Prec@1 100.000 (91.964)	Prec@5 100.000 (99.107)
Test: [40/237]	Time 0.335 (0.433)	Loss 0.0338 (0.2977)	Prec@1 100.000 (91.921)	Prec@5 100.000 (98.628)
Test: [60/237]	Time 0.340 (0.396)	Loss 0.1141 (0.2649)	Prec@1 93.750 (92.828)	Prec@5 100.000 (99.078)
Test: [80/237]	Time 0.354 (0.380)	Loss 0.1915 (0.2507)	Prec@1 93.750 (93.133)	Prec@5 100.000 (99.151)
Test: [100/237]	Time 0.331 (0.368)	Loss 0.4127 (0.2654)	Prec@1 93.750 (92.698)	Prec@5 100.000 (99.196)
Test: [120/237]	Time 0.338 (0.361)	Loss 0.3137 (0.2651)	Prec@1 81.250 (92.665)	Prec@5 100.000 (99.225)
Test: [140/237]	Time 0.372 (0.356)	Loss 0.6014 (0.2566)	Prec@1 68.750 (92.553)	Prec@5 87.500 (99.202)
Test: [160/237]	Time 0.355 (0.351)	Loss 0.4531 (0.2548)	Prec@1 87.500 (92.624)	Prec@5 93.750 (99.185)
Test: [180/237]	Time 0.299 (0.348)	Loss 0.1399 (0.2602)	Prec@1 100.000 (92.507)	Prec@5 100.000 (99.137)
Test: [200/237]	Time 0.314 (0.344)	Loss 0.1945 (0.2614)	Prec@1 93.750 (92.444)	Prec@5 100.000 (99.160)
Test: [220/237]	Time 0.318 (0.341)	Loss 0.4655 (0.2609)	Prec@1 93.750 (92.506)	Prec@5 100.000 (99.152)
Testing Results: Prec@1 92.572 Prec@5 99.128 Loss 0.26002
Best Prec@1: 92.572

Epoch: [2][0/596], lr: 0.0002500	Time 2.630 (2.630)	Loss 0.0237 (0.0237)	Loss_h 3.2917 (3.2917)	Prec@1 100.000 (100.000)	
Epoch: [2][20/596], lr: 0.0002500	Time 0.524 (0.646)	Loss 0.2985 (0.1330)	Loss_h 3.5213 (3.5131)	Prec@1 87.500 (95.536)	
Epoch: [2][40/596], lr: 0.0002500	Time 0.524 (0.594)	Loss 0.4693 (0.1609)	Loss_h 3.4382 (3.5124)	Prec@1 87.500 (95.427)	
Epoch: [2][60/596], lr: 0.0002500	Time 0.563 (0.575)	Loss 0.0915 (0.1545)	Loss_h 4.1594 (3.5552)	Prec@1 100.000 (95.697)	
Epoch: [2][80/596], lr: 0.0002500	Time 0.519 (0.566)	Loss 0.0326 (0.1798)	Loss_h 3.4378 (3.5630)	Prec@1 100.000 (94.907)	
Epoch: [2][100/596], lr: 0.0002500	Time 0.514 (0.560)	Loss 0.0724 (0.1736)	Loss_h 3.6530 (3.5720)	Prec@1 100.000 (94.988)	
Epoch: [2][120/596], lr: 0.0002500	Time 0.543 (0.557)	Loss 0.3489 (0.1813)	Loss_h 3.2611 (3.5580)	Prec@1 87.500 (94.680)	
