Test: [100/457]	Time 1.891 (2.728)	Loss 4.8633 (5.5539)	Prec@1 0.000 (0.000)	Prec@5 0.000 (0.000)
Test: [120/457]	Time 1.993 (2.579)	Loss 4.3022 (5.4703)	Prec@1 0.000 (0.000)	Prec@5 0.000 (0.000)
Test: [140/457]	Time 2.000 (2.432)	Loss 4.3276 (5.3200)	Prec@1 0.000 (0.000)	Prec@5 0.000 (0.000)
Test: [160/457]	Time 1.562 (2.348)	Loss 4.0921 (5.1652)	Prec@1 0.000 (1.316)	Prec@5 100.000 (6.579)
Test: [200/457]	Time 1.854 (2.266)	Loss 4.5378 (5.0487)	Prec@1 0.000 (1.075)	Prec@5 0.000 (6.452)
Test: [300/457]	Time 1.664 (2.174)	Loss 5.0109 (4.9673)	Prec@1 0.000 (0.690)	Prec@5 0.000 (5.517)
Test: [320/457]	Time 2.037 (2.149)	Loss 4.4628 (4.9506)	Prec@1 0.000 (0.645)	Prec@5 0.000 (5.161)
Test: [340/457]	Time 2.331 (2.136)	Loss 4.5576 (4.9459)	Prec@1 0.000 (0.610)	Prec@5 0.000 (4.878)
Test: [380/457]	Time 1.566 (2.098)	Loss 4.6410 (4.9226)	Prec@1 0.000 (0.541)	Prec@5 0.000 (4.324)
Test: [420/457]	Time 1.639 (2.063)	Loss 3.8023 (4.8723)	Prec@1 0.000 (0.493)	Prec@5 100.000 (5.911)
Test: [440/457]	Time 1.870 (2.046)	Loss 4.2913 (4.8447)	Prec@1 0.000 (0.943)	Prec@5 0.000 (7.075)
Testing Results: Prec@1 0.909 Prec@5 7.273 Loss 4.83413
Best Prec@1: 1.818

Epoch: [2][20/1333], lr: 0.0002500	Time 2.089 (2.058)	Loss 4.8902 (5.0150)	Loss_h 4.4958 (4.7209)	Prec@1 0.000 (0.000)	
Epoch: [2][40/1333], lr: 0.0002500	Time 2.115 (1.983)	Loss 3.8880 (4.7093)	Loss_h 3.6926 (4.5047)	Prec@1 0.000 (0.000)	
Epoch: [2][160/1333], lr: 0.0002500	Time 2.031 (2.059)	Loss 4.6903 (4.2749)	Loss_h 4.9058 (4.3772)	Prec@1 0.000 (0.000)	
Epoch: [2][200/1333], lr: 0.0002500	Time 2.138 (2.032)	Loss 0.3350 (3.9532)	Loss_h 4.0067 (4.4166)	Prec@1 100.000 (4.494)	
Epoch: [2][220/1333], lr: 0.0002500	Time 2.135 (2.022)	Loss 5.8295 (3.8314)	Loss_h 4.9818 (4.4044)	Prec@1 0.000 (10.891)	
Epoch: [2][240/1333], lr: 0.0002500	Time 1.521 (2.031)	Loss 3.2065 (3.9534)	Loss_h 4.3615 (4.4669)	Prec@1 0.000 (9.910)	
